pseudo,password,privacy_setting,score,registration_date
alice,alice123,public,458,2024-12-26
bob,bob123,private,107,2024-10-01
charlie,charlie123,private,72,2025-01-23
diana,diana123,buddies,179,2025-12-05
eve,eve123,private,440,2025-10-01
frank,frank123,private,393,2025-11-30
grace,grace123,private,467,2025-11-11
hugo,hugo123,private,265,2024-10-20
iris,iris123,private,78,2025-09-19
julien,julien123,buddies,218,2024-09-17
kara,kara123,public,7,2024-11-19
leo,leo123,public,311,2024-09-24
mona,mona123,public,411,2025-09-11
nathan,nathan123,buddies,419,2026-03-05
olivia,olivia123,public,130,2024-12-11
